Parcours;numero;ue obtenues
dac;17;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);iamsi (1);rital (1);bium (1)
dac;18;1 , 2 , 3 , 4 , 5;anglais (1);sam (1);ml (2);iamsi (1);bium (1)
dac;19;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);rital (1);bium (1);sam (1)
dac;20;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);bium (1);rital (1);iamsi (1)
dac;21;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);sam (1);bium (1);rital (1)
dac;22;1 , 2 , 3 , 4 , 5;anglais (1);iamsi (1);ml (2);bium (1);sam (1)
dac;23;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);rital (1);iamsi (1);bium (1)
dac;24;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);rital (1);iamsi (1);sam (1)
dac;25;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);rital (1);iamsi (1);sam (1)
ima;1;1 , 2 , 3;ig3d (1);rp (1);iamsi (1)
ima;2;1 , 2 , 3 , 5;anglais (1);ig3d (1);cge (1);fosyma (1);mll (1)
ima;3;1 , 2 , 3 , 4 , 5;anglais (1);ig3d (1);anum (1);ml (2);hpc (1)
ima;4;1 , 2 , 3 , 4;anglais (1);ig3d (1);cge (1);iamsi (1);mll (1)
ima;5;1 , 2 , 4;anglais (1);ig3d (1);ml (1);cge (1);rp (1)
ima;6;1 , 2 , 5;anglais (1);ig3d (1);ml (2);anum (1);dj (2)
ima;7;1 , 2 , 3 , 4;anglais (1);ig3d (1);mll (1);rp (1);iamsi (1)
ima;8;1 , 2 , 4 , 5;anglais (1);ig3d (1);fosyma (1);ml (2);anum (1)
ima;9;1 , 2 , 4 , 5;anglais (1);ig3d (1);dj (2);iamsi (1);mll (1)
ima;10;1 , 2 , 3 , 4 , 5;anglais (1);ig3d (1);cge (1);ml (1);dj (1)
ima;11;1 , 2 , 3 , 4 , 5;anglais (1);ig3d (1);mll (1);iamsi (1);rp (1)
ima;12;1 , 2 , 3 , 4;anglais (1);ig3d (1);mll (1);hpc (1);rp (1)
iq;1;1 , 2 , 3;anglais (1);qiintro (1);anum (1);ig3d (1)
iq;2;1 , 2 , 3 , 4;anglais (1);qiintro (1);anum (1);ig3d (1)
iq;3;1 , 2 , 3 , 4;anglais (1);qiintro (1);anum (1);hpc (1)
iq;4;1 , 2 , 3 , 4;anglais (1);qiintro (1);anum (1);hpc (1)
iq;5;1 , 2 , 3 , 4;anglais (1);qiintro (1);ig3d (1);hpc (1)
iq;6;1 , 2 , 3;anglais (1);qiintro (1);hpc (1);PROBLEME DE CHEVAUCHEMENT !
iq;7;1 , 2 , 4;anglais (1);qiintro (1);hpc (1);ig3d (1)
iq;8;1 , 2 , 4;anglais (1);qiintro (1);hpc (1);ig3d (1)
sar;1;1 , 2 , 3 , 4 , 5;anglais  (1);ar (1);pnl (1);srcs (1);sftr (1)
sar;2;1 , 2 , 3 , 4 , 5;anglais  (1);ar (1);srcs (1);pnl (1);sftr (1)
sar;3;1 , 2 , 3 , 4 , 5;anglais  (1);pnl (1);sftr (1);srcs (1);ar (1)
sar;4;1 , 2 , 3 , 4;anglais  (1);pnl (1);srcs (1);ar (1);sftr (1)
sar;5;1 , 2 , 3 , 4 , 5;anglais  (1);pnl (1);srcs (1);ar (1);ioc (1)
sar;6;1 , 2 , 3;anglais  (1);srcs (1);sftr (1);fpga (3);PROBLEME DE CHEVAUCHEMENT !
sar;7;1 , 2 , 3 , 4 , 5;anglais  (1);ar (1);sftr (1);srcs (1);pnl (1)
sar;8;1 , 2 , 3 , 4;anglais  (1);srcs (1);pnl (1);ioc (1);ar (1)
sar;9;1 , 2 , 3;anglais  (1);fpga (3);srcs (1);sftr (1);PROBLEME DE CHEVAUCHEMENT !
sar;10;1 , 2 , 3 , 4 , 5;anglais  (1);pnl (1);sftr (1);srcs (1);ar (1)
sar;11;1 , 2 , 3 , 4 , 5;anglais  (1);pnl (1);srcs (1);ar (1);sftr (1)
sar;12;1 , 2 , 3 , 4;anglais  (1);pnl (1);ar (1);sftr (1);multi (1)
sar;13;1 , 2 , 3 , 4 , 5;anglais  (1);pnl (1);srcs (1);sftr (1);ar (1)
sar;14;1 , 2 , 3 , 4;anglais  (1);pnl (1);sftr (1);multi (1);ar (1)
sar;15;1 , 2 , 3 , 4;anglais  (1);ar (1);sftr (1);srcs (1);pnl (1)
sar;16;1 , 2 , 3 , 4;anglais  (1);pnl (1);sftr (1);srcs (1);ar (1)
sar;17;1 , 2 , 3 , 4;anglais  (1);srcs (1);sftr (1);ar (1);pnl (1)
sar;18;1 , 2 , 3 , 4 , 5;anglais  (1);srcs (1);pnl (1);ar (1);sftr (1)
sar;19;1 , 2 , 3 , 4 , 5;anglais  (1);pnl (1);srcs (1);ar (1);sftr (1)
sar;20;1 , 2 , 3 , 4 , 5;anglais  (1);pnl (1);srcs (1);ar (1);sftr (1)
sar;21;1 , 2 , 3 , 4 , 5;anglais  (1);pnl (1);srcs (1);sftr (1);ar (1)
sar;22;1 , 2 , 3 , 4 , 5;anglais  (1);srcs (1);pnl (1);ar (1);sftr (1)
sar;23;1 , 2 , 3 , 4;anglais  (1);pnl (1);ioc (1);ar (1);srcs (1)
sar;24;1 , 2 , 3 , 4 , 5;anglais  (1);pnl (1);ar (1);srcs (1);ioc (1)
sar;25;1 , 2 , 3 , 4 , 5;anglais  (1);pnl (1);srcs (1);ar (1);sftr (1)
sar;26;1 , 2 , 3 , 4;anglais  (1);pnl (1);srcs (1);ioc (1);ar (1)
sar;27;1 , 2 , 3 , 4;anglais  (1);sftr (1);ar (1);srcs (1);pnl (1)
sar;28;1 , 2 , 3 , 4 , 5;anglais  (1);pnl (1);ioc (1);ar (1);srcs (1)
sar;29;1 , 2 , 3 , 4 , 5;anglais  (1);pnl (1);srcs (1);ar (1);sftr (1)
sar;30;1 , 2 , 3 , 4 , 5;anglais  (1);pnl (1);ar (1);sftr (1);srcs (1)
sesi;1;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);pnl (1);ar (1);multi (1);ioc (1)
sesi;2;1 , 2 , 3 , 4 , 5;anglais  (1);cge (1);fpga (2);multi (1);ioc (1);projet (1)
sesi;3;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);ioc (1);multi (1);pnl (1);fpga (1)
sesi;4;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);projet (1);multi (1);fpga (2);ioc (1)
sesi;5;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);multi (1);ioc (1);projet (1);fpga (1)
sesi;6;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);projet (1);ecfa (1);fpga (2);multi (1)
sesi;7;1 , 2 , 3 , 4 , 5;anglais  (1);cge (1);projet (1);ioc (1);multi (1);fpga (3)
sesi;8;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);fpga (3);multi (1);projet (1);ioc (1)
sesi;9;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);projet (1);fpga (2);ioc (1);multi (1)
sesi;10;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);projet (1);multi (1);pnl (1);fpga (1)
sesi;11;1 , 2 , 3 , 4 , 5;anglais  (1);cge (1);multi (1);fpga (3);ioc (1);projet (1)
sesi;12;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);multi (1);fpga (2);ioc (1);projet (1)
sesi;13;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);ioc (1);projet (1);pnl (1);fpga (1)
sesi;14;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);ioc (1);multi (1);projet (1);ecfa (1)
sesi;15;1 , 2 , 3 , 4 , 5;anglais  (1);cge (1);fpga (3);multi (1);projet (1);ioc (1)
sesi;16;1 , 2 , 3 , 4;anglais  (1);multi (1);rout (1);projet (1);ar (1)
sesi;17;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);multi (1);ioc (1);pnl (1);projet (1)
sesi;18;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);multi (1);ioc (1);pnl (1);projet (1)
sesi;19;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);multi (1);fpga (1);ioc (1);pnl (1)
sesi;20;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);multi (1);fpga (1);ioc (1);pnl (1)
sesi;21;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);multi (1);fpga (1);ioc (1);pnl (1)
sesi;22;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);fpga (1);pnl (1);multi (1);ioc (1)
sesi;23;1 , 2 , 3 , 4 , 6;anglais  (1);cge (1);ioc (1);fpga (2);projet (1);multi (1)
sesi;24;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);ioc (1);multi (1);projet (1);ecfa (1)
sesi;25;1 , 2 , 3 , 4 , 6;anglais  (1);cge (1);ioc (1);fpga (2);multi (1);projet (1)
sesi;26;1 , 2 , 3 , 4 , 5;anglais  (1);cge (1);ecfa (1);comnum (1);fpga (2);projet (1)
sesi;27;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);multi (1);projet (1);pnl (1);fpga (1)
sesi;28;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);ioc (1);fpga (3);projet (1);multi (1)
sesi;29;1 , 2 , 3 , 4 , 5 , 6;anglais  (1);cge (1);multi (1);fpga (1);ioc (1);pnl (1)
sfpn;1;1 , 2 , 3 , 4;anum (1);flag (1);hpc (1);fpga (1)
sfpn;2;1 , 2 , 3 , 4 , 5;anglais  (1);anum (1);flag (1);hpc (1);isec (1)
sfpn;3;1 , 2 , 3 , 4 , 5;anglais  (1);anum (1);flag (1);hpc (1);isec (1)
sfpn;4;1 , 2 , 3 , 4 , 5;anglais  (1);anum (1);isec (1);flag (1);hpc (1)
sfpn;5;1 , 2 , 3 , 4 , 5;anglais  (1);anum (1);flag (1);hpc (1);isec (1)
sfpn;6;1 , 2 , 3 , 4 , 5;anglais  (1);anum (1);hpc (1);flag (1);isec (1)
sfpn;7;1 , 2 , 3 , 4 , 5;anglais  (1);anum (1);isec (1);flag (1);hpc (1)
sfpn;8;1 , 2 , 3 , 4 , 5;anglais  (1);anum (1);isec (1);hpc (1);flag (1)
sfpn;9;1 , 2 , 3 , 4 , 5;anglais  (1);anum (1);isec (1);flag (1);hpc (1)
sfpn;10;1 , 2 , 3 , 4 , 5;anglais  (1);anum (1);flag (1);hpc (1);isec (1)
sfpn;11;1 , 2;anglais  (1);hpc (1)
sfpn;12;1 , 2 , 3 , 4 , 5;anglais  (1);anum (1);isec (1);flag (1);hpc (1)
sfpn;13;1 , 2 , 3 , 4 , 5;anglais  (1);anum (1);hpc (1);isec (1);flag (1)
stl;1;1 , 2;ca (1);paf (1)
stl;2;1 , 2 , 3 , 4;paf (1);pc2r (1);aps (1);cpa (1)
stl;3;1;paf (1)
stl;4;1 , 2 , 3 , 4;pc2r (1);cpa (1);cps (1);aps (1)
stl;5;1 , 2 , 3 , 4;pc2r (1);cpa (1);cps (1);aps (1)
stl;6;1 , 2 , 3 , 4;pc2r (1);cpa (1);cps (1);aps (1)
stl;7;1 , 2;aps (1);paf (1)
stl;8;1 , 2 , 3 , 4;pc2r (1);cpa (1);cps (1);aps (1)
stl;9;1 , 2 , 3 , 4;pc2r (1);cps (1);cpa (1);paf (1)
stl;10;1 , 2 , 3 , 4;ca (1);cps (1);cpa (1);paf (1)
stl;11;1 , 2 , 3 , 4;ca (1);cps (1);cpa (1);paf (1)
stl;12;1 , 2 , 3 , 4;paf (1);cpa (1);pc2r (1);cps (1)
stl;13;1 , 2 , 3 , 4;cps (1);pc2r (1);cpa (1);aps (1)
stl;14;1 , 2 , 3 , 4;cps (1);pc2r (1);cpa (1);aps (1)
stl;15;1 , 2 , 3 , 4;cpa (1);cps (1);ca (1);paf (1)
stl;16;1 , 2 , 3;aps (1);pc2r (1);paf (1)
stl;17;1 , 2 , 3;paf (1);aps (1);pc2r (1)
stl;18;1 , 2 , 3 , 4;paf (1);pc2r (1);aps (1);ca (1)
stl;19;1 , 2 , 3 , 4;cpa (1);cps (1);paf (1);ca (1)
stl;20;1 , 2 , 3 , 4;cpa (1);cps (1);paf (1);ca (1)
stl;21;1 , 2 , 3 , 4;paf (1);pc2r (1);aps (1);cpa (1)
stl;22;1 , 2 , 3 , 4;cpa (1);cps (1);ca (1);paf (1)
stl;23;1 , 2;pc2r (1);paf (1)
stl;24;1 , 2 , 3 , 4 , 5;ca (1);cpa (1);paf (1);aps (1);pc2r (1)
stl;25;1 , 2 , 3 , 4;paf (1);cpa (1);cps (1);pc2r (1)
stl;26;1 , 2;pc2r (1);paf (1)
stl;27;1 , 2 , 3 , 4;paf (1);pc2r (1);aps (1);cps (1)
stl;28;1 , 2 , 3 , 4;ca (1);paf (1);aps (1);cpa (1)
stl;29;1 , 2 , 3 , 4;cps (1);pc2r (1);cpa (1);aps (1)
stl;30;1 , 2 , 3 , 4;paf (1);aps (1);pc2r (1);ca (1)
stl;31;1 , 2 , 3 , 4;cps (1);pc2r (1);paf (1);cpa (1)
stl;32;1 , 2 , 3 , 4;cps (1);pc2r (1);cpa (1);ca (1)
stl;33;1 , 2 , 3 , 4;cps (1);pc2r (1);cpa (1);ca (1)
stl;34;1 , 2 , 3 , 4;pc2r (1);cps (1);paf (1);aps (1)
stl;35;1 , 2 , 3 , 4;cps (1);cpa (1);ca (1);aps (1)
stl;36;1 , 2 , 3 , 4;aps (1);cps (1);pc2r (1);ca (1)
stl;37;1 , 2 , 3 , 4;cps (1);pc2r (1);cpa (1);ca (1)
stl;38;1 , 2 , 3 , 4;pc2r (1);cps (1);cpa (1);paf (1)
stl;39;1 , 2 , 3 , 4;paf (1);pc2r (1);cpa (1);cps (1)
stl;40;1 , 2 , 3;paf (1);pc2r (1);cps (1)
stl;41;1 , 2 , 3 , 4;paf (1);pc2r (1);aps (1);cps (1)
Total;;94.27392739273928
